Unnamed: 0,WEBJRGA,辞書データ
1709,おおとり,大トリ
1710,おおとりもの,大捕物
1711,おおなた,大なた
1712,おおにんずう,大人数
1713,おおばんぶるまい,大盤振る舞い
1714,おおびき,大引き
1715,おおびけ,大引け
1716,おおぶり,大振り
1717,おおぶり,大ぶり
1718,おおまか,大まか
1719,おおみこころ,大御心
1720,おおみそか,大みそか
1721,おおむね,おおむね
1722,おおむね,大棟
1723,おおめ,多め
1724,おおめにみる,大目に見る
1725,おかもち,岡持ち
1726,おおもと,大本
1727,おおもの,大物
1728,おおやけごと,公事
1729,おおよそ,おおよそ
1730,おおらか,おおらか
1731,おおわらわ,大わらわ
1732,おか,おか
1733,おか,丘
1734,おかあさん,お母さん
1735,おかあさん,お義母さん
1736,おかえりなさい,お帰りなさい
1737,おかげ,おかげ
1738,おかしい,おかしい
1739,おかしらつき,尾頭付き
1740,おかす,犯す
1741,おかす,侵す
1742,おかす,冒す
1743,おがた,牡型（おがた）
1744,おかっぴき,岡っ引き
1745,おかづり,おか釣り
1746,おかぼ,おかぼ
1747,おかま,オカマ
1748,おかみ,お上
1749,おかみ,おかみ
1750,おかみさん,おかみさん
1751,おかめはちもく,岡目八目
1752,おかもち,岡持ち
1753,おかやき,岡焼き
1754,おから,おから
1755,おかんむり,おかんむり
1757,おきあい,沖合
1758,おきかえる,置き換える
1759,おきて,おきて
1760,おきてがみ,置き手紙
1761,おきどころ,置き所
1762,おきどころ,置きどころ
1763,おきな,おきな
1764,おきなかし,沖仲仕
1765,おきびき,置引
1766,おきや,置き屋
1767,おきゅう,おきゅう
1769,おく,おく
1770,おく,おく
1771,おく,おく
1772,おく,置く
1773,おくいぞめ,お食い初め
1774,おくがき,奥書
1775,おくじょうおく,屋上屋
1776,おくじょうかおく,屋上架屋
1777,おくする,臆する
1778,おくせつ,憶説
1779,おくそく,憶測
1780,おくづけ,奥付
1781,おくて,おくて
1782,おくて,奥手
1783,おくめん,臆面
1784,おくびょう,臆病
1785,おくゆかしい,奥ゆかしい
1786,おくりつける,送り付ける
1787,おくれる,遅れる
1788,おくれる,後れる
1790,おけ,おけ
1791,おけら,オケラ
1792,おけらになる,おけらになる
1793,おこす,興す
1794,おこす,おこす
1795,おこす,起こす
1796,おこす,おこす
1797,おごそか,厳か
1798,おこりだす,怒りだす
1799,おごる,おごる
1800,おごる,おごる
1801,おさ,おさ
1802,おさえきる,押さえきる
1803,おさえきる,抑えきる
1804,おさえこみ,抑え込み
1805,おさえつける,押さえ付ける
1806,おさえる,押さえる
1807,おさえる,抑える
1808,おさなご,幼子
1809,おさななじみ,幼なじみ
1810,おざなり,おざなり
1811,おさめる,収める
1812,おさめる,納める
1813,おさめる,治める
1814,おさめる,修める
1815,おさんかた,お三方
1816,おし,おし
1817,おじ,伯父
1818,おじ,叔父
1819,おしあいへしあい,押し合いへし合い
1820,おじいさん,おじいさん
1821,おしえっこ,教えっこ
1822,おしかける,押し掛ける
1823,おじぎ,お辞儀
1824,おしきせ,お仕着せ
1825,おじけづく,おじけづく
1826,おしげもなく,惜しげもなく
1827,おじさん,おじさん
1828,おじさん,おじさん
1829,おしすすめる,押し進める
1830,おしすすめる,推し進める
1831,おしつける,押し付ける
1832,おしどり,オシドリ
1833,おしてしるべし,推して知るべし
1834,おしなべて,おしなべて
1835,おしはかる,推し量る
1836,おしべ,雄しべ
1837,おしぼり,お絞り
1838,おしまい,おしまい
1839,おしめ,おしめ
1840,おしもおされもせぬ,押しも押されもせぬ
1841,おしゃか,おしゃか
1842,おしやる,押しやる
1843,おしん,悪心
1844,おさかさま,お釈迦様
1845,おじゃん,おじゃん
1846,おしょう,和尚
1847,おしろい,おしろい
1848,おしんこ,おしんこ
1849,おす,雄
1850,おす,牡
1851,おす,押す
1852,おす,推す
1853,おせじ,お世辞
1854,おせっかい,おせっかい
1855,おせち,おせち
1856,おぜんだて,お膳立て
1857,おそいかかる,襲い掛かる
1858,おそで,遅出
1859,おそまきながら,遅まきながら
1860,おそらく,恐らく
1861,おそるおそる,恐る恐る
1862,おそれ,恐れ
1863,おそれ,畏れ
1864,おそれいる,恐れ入る
1865,おそれいる,畏れ入る
1866,おそれおおい,恐れ多い
1867,おそれおおい,畏れ多い
1868,おたがいさま,お互いさま
1869,おたく,お宅
1870,おたく,オタク
1871,おたけび,雄たけび
1872,おだちん,お駄賃
1873,おたまじゃくし,おたまじゃくし
1874,おたまじゃくし,オタマジャクシ
1875,おためごかし,おためごかし
1876,おち,落ち
1877,おちおち,おちおち
1878,おちゅうど,落人
1879,おつ,乙
1880,おっかけ,追っ掛け
1881,おっくう,おっくう
1882,おっこちる,落っこちる
1883,おつかれさま,おつかれさま
1884,おつごうしょう,乙号証
1885,おっつけ,おっつけ
1886,おっつけ,追っ付け
1887,おっつける,押っ付ける
1888,おつだいいちごうしょう,「乙第１号証」
1889,おっとり,おっとり
1890,おって,追って
1891,おって,追っ手
1892,おっとりがたな,押っ取り刀
1893,おつゆ,おつゆ
1894,おて,お手
1895,おでき,おでき
1896,おてて,お手手
1897,おてのもの,お手の物
1898,おてまえ,お点前
1899,おてもり,お手盛り
1900,おてんとうさま,おてんとう様
1901,おてんば,おてんば
1902,おとうさん,お父さん
1903,おとうさん,お義父さん
1904,おとぎばなし,おとぎ話
1905,おとこおんな,男・女
1906,おとこぎ,おとこ気
1907,おとこだて,男だて
1908,おとこもの,男物
1909,おとさた,音沙汰
1910,おとし,お年
1911,おとしいれる,陥れる
1912,おとしどころ,落としどころ
1913,おとしめる,おとしめる
1914,おどす,脅す
1915,おととい,おととい
1916,おととし,おととし
1917,おととしきょねん,おととし・去年
1918,おとな,大人
1919,おとなしい,おとなしい
1920,おとひめ,乙姫
1921,おとめ,乙女
1922,おともする,お供する
1923,おどる,踊る
1924,おどる,躍る
1925,おなか,おなか
1926,おなじみ,おなじみ
1927,おにぎり,おにぎり
1928,おにし,お西
1929,おねえ,オネエ
1930,おの,おの
1931,おのおの,おのおの
1932,おのずから,おのずから
1933,おば,伯母
1934,おば,叔母
1935,おばあさん,おばあさん
1936,おばけ,お化け
1937,おはこ,おはこ
1938,おばさん,おばさん
1939,おばさん,おばさん
1940,おばな,雄花
1941,おはなしする,お話しする
1942,おはなしをする,お話をする
1943,おはよう,おはよう
1944,おびえる,おびえる
1945,おひがし,お東
1946,おびきだす,おびき出す
1947,おひざもと,お膝元
1948,おひたし,おひたし
1949,おひつ,お櫃（ひつ）
1950,おひとかた,お一方
1951,おびどめ,帯留め
1952,おひとよし,お人よし
1953,おひとり,お一人
1954,おびな,男びな
1955,おびやかす,脅かす
1956,おびる,帯びる
1957,おひれ,尾ひれ
1958,おひろめ,お披露目
1959,おふくろ,おふくろ
1960,おふせ,お布施
1961,おふたかた,お二方
1962,おふたり,お二人
1963,おぷちみすと,オプチミスト
1964,おふれ,お触れ
1965,おぼえがき,覚書
1966,おぼしい,おぼしい
1967,おぼしめし,おぼしめし
1968,おぼつかない,おぼつかない
1969,おぼれる,溺れる
1970,おぼろげ,おぼろげ
1971,おまえ,おまえ
1972,おまけ,おまけ
1973,おまわりさん,お巡りさん
1974,おみき,お神酒
1975,おみくじ,おみくじ
1976,おむすび,おむすび
1977,おむろ,御室
1978,おめい,汚名
1979,おめにかかる,お目にかかる
1980,おめみえ,お目見え
1981,おも,面
1982,おもいがけない,思いがけない
1983,おもいきり,思い切り
1984,おもいだす,思い出す
1985,おもいだす,思いだす
1986,おもいつき,思い付き
1987,おもいのほか,思いのほか
1988,おもいもよらない,思いも寄らない
1989,おもいをたつ,思いを断つ
1990,おもう,思う
1991,おもかじ,面かじ
1992,おもざし,面ざし
1993,おもし,重し
1994,おもしろい,面白い
1995,おもだつ,主立つ
1996,おもちゃ,おもちゃ
1997,おもて,表
1998,おもて,面
1999,おもてうら,表・裏
2000,おもてだつ,表立つ
2001,おもなが,面長
2002,おもに,主に
2003,おもねる,おもねる
2004,おもはゆい,面はゆい
2005,おもみ,重み
2006,おもむく,赴く
2007,おもむろに,おもむろに
2008,おももち,面持ち
2009,おもや,母屋
2010,おもゆ,重湯
2011,おもり,重り
2012,おもわく,思惑
2013,おもんぱかる,おもんぱかる
2014,おやがかり,親掛かり
2015,おやきょうだい,親兄弟
2016,おやご,親御
2017,おやじ,おやじ
2018,おやつ,おやつ
2019,おやま,女形
2020,おゆみのしんじ,御弓（おゆみ）の神事
2021,およそ,およそ
2022,および,及び
2023,おり,折り
2024,おり,折
2025,おり,織り
2026,おり,織
2027,おり,おり
2028,おり,おり
2029,おりあしく,折あしく
2030,おりい,下り居
2031,おりから,折から
2032,おりこむ,折り込む
2033,おりこむ,織り込む
2035,おりづる,折り鶴
2036,おりぱら,オリ・パラ
2037,おりひめ,織り姫
2038,おりめ,織り目
2039,おりもおり,折も折
2040,おりもの,織物
2041,おりよく,折よく
2042,おりる,下りる
2043,おりる,降りる
2044,おれ,俺
2045,おれおれ,「俺俺」
2046,おれおれさぎ,「おれおれ詐欺」
2047,おろし,おろし
2048,おろしうり,卸売り
2049,おろしうり,卸売
2050,おろしこうりぎょう,卸・小売業
2051,おろしがね,おろし金
2052,おろす,おろす
2053,おろす,下ろす
2054,おろす,降ろす
2055,おろす,卸す
2056,おろす,堕ろす
2057,おろそか,おろそか
2058,おわはら,オワハラ
2059,おわりに,「おわりに」
2060,おわりね,終値
2061,～おわる,～終わる
2062,おわん,おわん
2063,おんいへいこう,恩威並行
2064,おんき,遠忌
2065,おんぎ,恩義
2066,おんこうとくじつ,温厚篤実
2067,おんこちしん,温故知新
2068,おんさ,音叉
2069,おんしゅう,恩讐
2070,おんじょう,温情
2071,おんじょう,恩情
2072,おんしんふつう,音信不通
2073,おんぞうし,御曹司
2074,おんちょう,恩寵（おんちょう）
2075,おんとう,穏当
2076,おんどとり,音頭取り
2077,おんとろうろう,音吐朗々
2078,おんどり,おんどり
2079,おんながた,女形
2080,おんなこども,女・子ども
2081,おんなじ,おんなじ
2082,おんなで,女手
2083,おんなもの,女物
2084,おんねん,怨念
2085,おんのじ,御の字
2086,おんば,おんば
2087,おんびき,音引き
2088,おんびん,穏便
2089,おんぷ,音符
2090,おんぷ,音譜
2091,おんぶ,おんぶ
2092,おんみつ,隠密
2093,おんみょうどう,陰陽道（おんみょうどう）
2094,おんりょう,怨霊
2095,おんりょうきょうけん,温良恭倹
2096,おんにきせる,恩に着せる
2099,か,カ
2100,か,カ、蚊
2101,か,箇
2104,かい,解
2105,かい,隗
2106,かい,かい
2109,かいい,魁偉
2110,かいいすいしょく,解衣推食
2111,かいえん,開演
2112,がいえん,外苑
2113,がいえん,外延
2114,がいえん,外縁
2115,かいか,開架
2116,がいか,凱歌（がいか）
2117,かいかえる,買い替える
2118,がいかく,外郭
2119,かいかけ,買い掛け
2120,かいかけ,買掛
2121,かいかじしん,改過自新
2122,かいかつ,快活
2123,がいかん,外観
2124,がいかん,概観
2125,がいかんじてい,蓋棺事定
2126,がいかんないめい,外寛内明
2127,かいき,回忌
2128,かいきえん,怪気炎
2129,かいきえん,快気炎
2130,かいきしょく,皆既食
2131,かいきねつ,回帰熱
2132,かいぎゃく,諧謔（かいぎゃく）
2133,かいきゅう,懐旧
2134,かいきょ,開渠
2135,かいきょう,回教
2136,かいきる,買い切る
2137,がいく,街衢（がいく）
2138,かいげ,改悔（かいげ）
2139,かいけい,会稽
2140,かいけつ,怪傑
2141,がいけもん,改悔文（がいけもん）
2142,かいげん,開眼
2143,かいこう,カイコ／蚕
2144,かいこ,回顧
2145,かいこ,懐古
2146,かいご,悔悟
2147,かいこう,開匣（かいこう）
2148,かいこう,邂逅（かいこう）
2149,がいこう,外構
2150,がいこうじれい,外交辞令
2151,かいこく,戒告
2152,かいこし,買い越し
2153,かいこし,買越
2154,がいこつ,骸骨
2155,かいさ,階差
2156,かいさい,快哉（かいさい）
2157,かいさく,開削
2158,かいざん,改ざん
2159,がいし,がいし
2160,がいしつ,該悉
2161,がいじつ,概日
2162,がいして,概して
2163,かいしゃ,膾炙（かいしゃ）
2164,かいしゃく,介錯（かいしゃく）
2165,かいじゅう,晦渋（かいじゅう）
2166,がいしゅういっしょく,鎧袖一触
2167,かいしゅん,改悛（かいしゅん）
2168,かいしゅん,改悛
2169,かいしゅん,買春
2170,かいしょ,楷書
2171,かいしょう,かい性
2172,かいじょう,解錠
2173,かいじょう,開錠
2174,かいしょく,海食
2175,かいしん,会心
2176,かいしん,改心
2177,かいしん,回心
2178,かいしん,戒心
2179,かいじん,灰じん
2180,かいせい,海生
2181,かいせい,回生
2182,がいせき,外戚
2183,かいせき,会席
2184,かいせき,懐石
2185,がいせつ,剴切
2186,かいせつ,回折
2187,かいせん,疥癬（かいせん）
2188,がいせん,凱旋（がいせん）
2189,がいぜんせい,蓋然（がいぜん）性
2190,かいそう,回漕
2191,かいそう,潰走
2192,かいそう,海藻
2193,かいそう,海草
2194,かいそう,改葬
2195,がいそう,咳嗽（がいそう）
2196,かいぞえ,介添え
2197,かいたい,懈怠
2198,かいだし,買い出し
2199,かいだしにん,買出人
2200,かいだす,買いだす
2201,がいため,外為
2202,かいだめ,買いだめ
2203,がいだんこうせつ,街談巷説
2204,かいちゅう,回虫
2205,かいちょう,諧調
2206,かいちょう,開帳
2207,かいちょう,開張
2208,かいちょく,戒飭（かいちょく）
2209,かいてい,改定
2210,かいてい,改訂
2211,かいとう,回答
2212,かいとう,解答
2213,がいとう,外套
2214,かいどう,会同
2215,かいどう,会堂
2216,がいとう,街頭
2217,がいとう,街灯
2218,がいとう,外灯
2219,かいとうめん,海島綿
2220,かいとうらんま,快刀乱麻
2221,かいとくはしゃ,快犢破車
2222,かいとり,買い取り
2223,かいとり,買取
2224,かいならす,飼いならす
2225,かいね,買値
2226,かいば,海馬
2227,がいはんぼし,外反母趾（ぼし）
2228,かいひ,開扉
2229,かいびゃく,開闢
2231,かいふく,回復
2232,かいふく,開腹
2233,かいぶつせいむ,開物成務
2234,かいへん,改変
2235,かいへん,改編
2236,かいほう,開放
2237,かいほう,解放
2238,かいほう,解法
2239,がいぼう,外貌
2240,がいぼう,概貌
2241,かいほうかん,開放感
2242,かいほうかん,解放感
2243,かいまみる,垣間見る
2244,かいめい,解明
2245,かいめい,開明
2246,かいめつ,壊滅
2247,かいもく,皆目
2248,かいもどし,買い戻し
2249,かいよう,潰瘍
2250,かいよう,海容
2251,かいらい,かいらい
2252,かいらいし,傀儡師（かいらいし）
2253,かいらん,壊乱
2254,かいり,カイリ
2255,かいり,乖離
2256,かいり,解離
2257,かいれい,海嶺
2258,かいろ,懐炉／カイロ
2259,かいろう,回廊
2260,かいろうどうけつ,偕老同穴
2261,かいわい,界隈
2262,かう,交う
2263,かう,買う
2264,かうんきほう,夏雲奇峰
2265,かえうた,替え歌
2266,かえす,返す
2267,かえす,帰す
2268,かえす,かえす
2269,かえす,かえす
2270,かえす,還す
2271,かえすがえすも,返す返すも
2272,かえって,かえって
2273,かえば,替え刃
2274,かえりうち,返り討ち
2275,かえりがけ,帰りがけ
2276,かえがたい,代え難い
2277,かえがたい,替え難い
2278,かえがたい,換え難い
2279,かえがたい,変え難い
2280,かえりみる,省みる
2281,かえりみる,顧みる
2282,かえる,かえる
2283,かえる,カエル
2284,かえる,代える
2285,かえる,換える
2286,かえる,替える
2287,かえる,変える
2288,かえんびん,火炎瓶
2289,かおう,花押
2290,かおつき,顔つき
2291,かおぶれ,顔触れ
2292,かおる,香る
2293,かおる,薫る
2294,かかあ,かかあ
2295,がかい,瓦解
2296,かがく,価額
2297,かかくこむ,価格.com
2298,かがくじょうたつ,下学上達
2299,かかずらう,かかずらう
2300,かかし,かかし
2301,かがみ,鏡
2302,かがみ,かがみ
2303,かがむ,かがむ
2304,かがやきだす,輝きだす
2305,かかり,係
2306,かかり,掛
2307,かかり,係り
2308,かかりあう,掛かり合う
2309,かかりきり,かかりきり
2310,かかりつけ,かかりつけ
2311,かかる,（時間・金が）かかる
2312,かかる,かかる
2313,かかる,かかる
2314,かかる,係る
2318,かかる,かかる
2320,かかわる,関わる
2321,かき,カキ／柿
2322,かき,カキ
2323,かき,花卉（かき）
2324,かぎ,鍵
2325,かき,夏季
2326,かき,夏期
2327,かぎ,かぎ
2328,がき,餓鬼
2329,がき,ガキ
2332,かきいれどき,書き入れ時
2333,かきかえる,書き換える
2334,かききる,かき切る
2335,かききる,書ききる
2336,かきごおり,かき氷
2337,かきだし,書き出し
2338,かきだす,かき出す
2339,かきだす,書き出す
2340,かきだす,書きだす
2341,かきたてる,書き立てる
2342,かきたてる,かき立てる
2343,かぎつける,嗅ぎつける
2344,かぎっこ,鍵っ子
2345,かきとめ,書留
2346,かきなべ,かき鍋
2347,かきはん,書き判
2348,かきょう,華僑
2349,かきょう,下郷
2350,かぎょう,家業
2351,かぎょう,稼業
2352,かぎょう,課業
2353,かぎゅう,蝸牛（かぎゅう）
2354,かぎゅうかくじょう,蝸牛角上
2355,かきゅうじんそく,家給人足
2356,かぎる,限る
2357,かきわり,書き割り
2358,かきん,家禽
2359,かきん,瑕瑾（かきん）
2360,かく,かく
2362,かぐ,嗅ぐ
2363,かくう,架空
2364,かくうち,角打ち
2365,かくかく,かくかく
2366,かくかく,赫々（かくかく）
2367,がくかんせつ,顎（がく）関節
2368,かくけんれん,各県連
2369,かくさ,格差
2370,かくさ,較差
2371,かくざ,擱座
2372,かくじ,角字
2373,かくしゃく,かくしゃく
2374,かくしゅ,各種
2375,かくしゅ,馘首
2376,かくしゅ,鶴首
2377,がくしゅうしえん,学習支援
2378,がくしゅうしえん,学修支援
2379,かくじゅん,恪遵
2380,がくしん,学振
2381,かくせい,覚醒
2382,かくせい,廓清（かくせい）
2383,かくせい,郭清
2384,かくせいざい,覚せい剤
2385,かくぜん,画然
2386,がくぜん,がくぜん
2387,かくぜんたいこう,廓然大公
2388,がくそう,楽箏（がくそう）
2389,がくそくふこ,学即不固
2390,かくたん,喀痰（かくたん）
2391,がくだん,楽団
2392,がくだん,楽壇
2393,かくち,覚知
2394,かくづけ,格づけ
2395,がくて,学テ（学力テスト）
2396,がくて,学テ
2397,かくてい,確定
2398,かくてい,画定
2399,かくとう,格闘
2400,かくはん,撹拌（かくはん）
2401,かくひつ,擱筆
2402,かくぶつちち,格物致知
2403,かくべつ,格別
2404,かくまう,かくまう
2405,かくまくえん,角膜炎
2406,かくもじ,角文字
2407,かぐら,神楽
2408,かくらん,かく乱
2409,かくらん,かくらん
2410,がくらん,学らん
2411,かくれが,隠れが
2412,かくれみの,隠れみの
2413,かぐわしい,かぐわしい
2414,がくわり,学割
2415,かげ,陰
2416,かげ,影
2417,がけ,崖
2420,かけいけん,科警研
2421,かけおち,駆け落ち
2422,かけがえ,掛け替え
2423,かけかえる,掛け替える
2424,かけきん,掛け金
2425,かけきん,賭け金
2426,かけごえ,かけ声
2427,かけごと,賭け事
2428,かけことば,掛け言葉
2429,かけじ,欠け字
2431,かけつける,駆け付ける
2432,かけっこ,駆けっこ
2433,がけっぷち,崖っぷち
2434,かけはし,架け橋
2435,かけはし,懸け橋
2436,かけはなれる,懸け離れる
2437,かけひき,駆け引き
2438,かけら,かけら
2439,かげり,陰り
2440,かける,掛ける
2441,かける,かける
2442,かける,かける
2443,かける,掛ける
2444,かける,掛ける
2445,かける,駆ける
2446,かける,懸ける
2447,かける,×
2450,かげる,陰る
2451,かげろう,かげろう
2452,かげん,加減
2453,かけんひ,科研費
2454,かご,籠
2455,かご,かご
2456,かこう,火口
2457,かこう,火孔
2458,かこうぜき,河口堰（ぜき）
2459,がこうそう,鵞口瘡（がこうそう）
2460,かこうがん,花こう岩
2461,かこく,過酷
2462,かこつける,かこつける
2463,かさ,傘
2464,かさ,笠
2465,かさ,かさ
2466,かさ,かさ
2467,かさ,かさ
2468,がさ,ガサ
2470,かさあげ,かさ上げ
2471,かざあなをあける,風穴を開ける
2472,かさく,家作
2473,かざぐるま,風車
2474,かさにかかる,かさにかかる
2475,かさにきる,笠に着る
2476,かさねがさね,重ね重ね
2477,かさねて,重ねて
2478,かさばる,かさばる
2479,かざみどり,風見鶏
2480,かさむ,かさむ
2481,かし,華氏
2482,かし,瑕疵（かし）
2483,かし,河岸
2484,かし,下賜
2485,かじ,かじ
2486,かじ,鍛冶
2487,かじ,加持
2488,かしおり,菓子折り
2489,かしかた,貸方
2490,かしきん,貸し金
2491,かしこし,貸し越し
2492,かしこし,貸越
2493,かしぐ,かしぐ
2494,かしずく,かしずく
2495,かしだおれ,貸し倒れ
2496,かしだおれ,貸倒
2497,かしだし,貸し出し
2498,かしだし,貸出
2499,かしつけ,貸し付け
2500,かしつけ,貸付
2501,かして,貸し手
2502,かしほん,貸本
2503,かしましい,かしましい
2504,かしや,貸家
2505,かしゃく,仮借
2506,かしゃく,呵責（かしゃく）
2507,かじゅう,加重
2508,かじゅう,荷重
2509,かじゅう,過重
2510,かしょ,箇所
2511,かじょ,加除
2512,かしょう,寡少
2513,かしょう,過小
2514,かしょう,過少
2515,かしょう,和尚（かしょう）
2516,がしょう,臥床
2517,かじょう,箇条
2518,がじょう,牙城
2519,かじょうがき,箇条書き
2520,かじょうちゅうゆ,火上注油
2521,かしょく,華燭（かしょく）
2522,かしょばんきん,家書万金
2523,かしら,頭
2524,かじりつく,かじり付く
2525,かしわで,かしわ手
2526,かしわもち,かしわ餅
2527,がしんしょうたん,臥薪嘗胆
2528,がじんしんち,雅人深致
2529,かじんはくめい,佳人薄命
2530,かしんほうぞう,禍心包蔵
2531,かす,かす
2532,かすいたい,下垂体
2533,かずのこ,カズノコ／数の子
2534,かずける,かずける
2535,かずく,かずく
2536,かすみ,かすみ
2537,かすめる,かすめる
2538,かずら,かずら
2539,かずら,かずら
2540,かすり,かすり
2541,かすりきず,かすり傷
2542,かする,科する
2543,かする,課する
2544,かすれる,かすれる
2545,かぜ,風邪
2546,かせい,苛政（かせい）
2547,かぜい,苛税（かぜい）
2548,かせいそ－だ,カセイソーダ
2549,かせぎだす,稼ぎ出す
2550,かせぐ,稼ぐ
2551,かせつ,仮説
2552,かせつ,仮設
2553,かせつ,架設
2554,がせねた,ガセネタ
2555,かせん,寡占
2556,がぜん,がぜん
2557,かせんしき,河川敷
2558,かそ,可塑
2559,かそう,仮装
2560,かそう,仮想
2561,かそうけん,科捜研
2562,かぞえきる,数えきる
2563,がそく,鵞足（がそく）
2564,かそくしょうきゃくせいど,加速償却制度
2565,かた,かた
2566,かた,形
2567,かた,型
2568,かた,方
2572,かた,片
2573,がたがくる,がたがくる
2574,かたい,固い
2575,かたい,堅い
2576,かたい,硬い
2577,かたい,下腿（かたい）
2578,かたい,難い
2580,かだい,過大
2581,かたいはなし,堅い話
2582,かたいはなし,硬い話
2583,かたえぞめ,型絵染
2584,かたおや,片親
2585,かたがき,肩書
2587,がたがた,がたがた
2588,がたがた,ガタガタ
2589,かたかっこいち,１）
2590,かたがわり,肩代わり
2591,かたき,敵
2592,かたぎ,かたぎ
2593,かたぎ,堅気
2594,かたくな,かたくな
2595,かたくりこ,かたくり粉
2596,かたくるしい,堅苦しい
2597,かたことまじり,片言交じり
2598,かたしきしょうめい,型式証明
2599,かたず,固唾（かたず）
2600,かたすかし,肩透かし
2601,かたち,かたち
2602,かたち,形
2606,かたぎができる,形ができる
2607,かたちからはいる,形から入る
2608,かたちづくる,形作る
2609,かたちでかく,形で書く
2611,かたちにのこす,形に残す
2612,かたちにしておく,形にしておく
2613,かたちになる,形になる
2616,かたちをとる,形を取る
2617,かたつ,下達
2618,かたづく,片付く
2619,がたつく,がたつく
2620,かたっぱし,片っ端
2621,かたておち,片手落ち
2622,かたどおり,型どおり
2623,かたとき,片時
2624,かたどる,かたどる
2625,かたな,刀
2626,かたなし,形なし
2627,かたはいひこう,片肺飛行
2628,かたぱん,堅パン
2629,かたひじ,肩肘
2630,かたぶつ,堅物
2631,かたほう,片方
2632,かたまり,固まり
2633,かたまり,塊
2634,かたみ,片身
2635,かたみ,形見
2636,かたみ,肩身
2637,かたもち,堅餅
2638,かたや,片や
2639,かたやき,堅焼き
2640,かたやぶり,型破り
2641,かたよせる,片寄せる
2642,かたよる,偏る
2643,かたり,かたり
2644,かたりかける,語りかける
2645,かたりきる,語りきる
2646,かたりぐさ,語り草
2647,かたりだす,語りだす
2648,かたりべ,語り部
2649,かたる,かたる
2650,かたわ,かたわ
2651,かたわく,型枠
2652,かたわら,傍ら
2653,かたわれ,片割れ
2654,かたをつける,片をつける
2655,かたん,加担
2657,がち,がち
2658,かちあう,かち合う
2659,かちきる,勝ちきる
2660,かちどき,勝ちどき
2661,かちまけ,勝ち負け
2662,かちみ,勝ちみ
2663,がちゃがちゃ,がちゃがちゃ
2664,がちゃがちゃ,ガチャガチャ
2665,かちゅう,火中
2666,かちゅう,渦中
2667,かちょうふうげつ,花鳥風月
2668,がちりん,月輪（がちりん）
2669,がちんこ,がちんこ
2670,かちんとくる,かちんとくる
2671,かつ,かつ
2672,かつ,活
2673,かつ,喝
2674,かつあげ,喝上げ
2675,かつおぶし,かつお節
2676,がっか,学科
2677,がっか,学課
2678,がっかい,学会
2679,がっかい,学界
2680,かっかそうよう,隔靴掻痒
2681,かっき,画期
2682,かっきづく,活気づく
2683,かっきん,恪勤
2684,かつぐ,担ぐ
2685,がっくりくる,がっくりくる
2686,かっけ,かっけ
2687,かっけつ,喀血（かっけつ）
2688,かっこ,括弧
2689,かっこ,鞨鼓（かっこ）
2690,かっこう,格好
2691,かっさい,喝采
2692,がっしょうづくり,合掌造り
2693,がっしょうれんこう,合従連衡
2694,かつぜつ,滑舌
2695,かっせん,合戦
2696,かったつ,闊達（かったつ）
2697,かっちゃく,活着
2698,かっちゅう,甲冑
2699,かつて,かつて
2700,かってかえる,買ってかえる
2701,がってん,合点
2702,かっとう,葛藤
2703,かっぱ,かっぱ
2704,かっぱ,カッパ
2705,かっぱくせいどん,活剥生呑
2706,かっぱつはっち,活溌溌地
2707,かっぷく,恰幅（かっぷく）
2708,かっぽ,闊歩（かっぽ）
2709,かっぽう,割烹（かっぽう）
2710,かっぽうぎ,かっぽう着
2711,かつま,羯磨（かつま）
2712,かつもく,刮目（かつもく）
2713,かつもくそうじ,刮目相待
2714,かつようじゅ,闊葉（かつよう）樹
2715,かつをいれる,活を入れる
2716,かつら,かつら
2717,かて,糧
2718,かてい,過程
2719,かてい,課程
2720,かていでんき,家庭電器
2721,かてまね,カテマネ
2722,かでん,瓜田（かでん）
2723,がでんいんすい,我田引水
2724,かでんりか,瓜田李下
2725,かといって,かといって
2726,かど,角
2727,かどう,華道
2728,かどう,稼働
2729,かどう,可動
2730,かとく,稼得
2731,かどづけ,門付け
2732,かどばん,かど番
2733,かとらくしょ,河図洛書
2734,かとりせんこう,蚊取り線香
2735,かないあんぜん,家内安全
2736,かなう,かなう
2737,かなえる,かなえる
2738,かなしょか,かな書家
2739,かなた,かなた
2740,かなづかい,仮名遣い
2741,かなづち,金づち
2742,かなてく,かなテク
2743,かなでる,奏でる
2744,かなまじり,仮名交じり
2745,かなめ,要
2746,かならず,必ず
2747,かなり,かなり
2748,かに,カニ
2749,がにまた,がに股
2750,かね,鐘
2751,かね,かね
2752,かねあい,兼ね合い
2753,かねがね,かねがね
2754,かねじゃく,かね尺
2755,かねる,兼ねる
2756,かねずく,金ずく
2757,かねつ,加熱
2758,かねつ,過熱
2759,かねづかい,金遣い
2760,かねづる,金づる
2761,かねて,かねて
2763,かねめのもの,金目の物
2764,かねる,兼ねる
2765,かの,かの
2766,かのう,化膿（かのう）
2767,かのえ,庚（かのえ）
2768,かのこ,鹿（か）の子
2769,かのじょ,彼女
2770,かのと,辛（かのと）
2771,かば,カバ／河馬
2772,かはい,加配
2773,かばやき,かば焼き
2774,かばん,かばん
2775,かはんすう,過半数
2776,かび,カビ
2777,がびょう,画びょう
